com.model.d3.D3Graph@fcc5b1Atype	Agroup	Aid	Aname	Btype	Bgroup	Bid	Bname
mp	MP:0005387	MP:0008755	abnormal immunoglobulin V(D)J recombination	mp	MP:0005387	MP:0008761	abnormal immunoglobulin light chain V-J recombination
mp	MP:0005387	MP:0008755	abnormal immunoglobulin V(D)J recombination	mp	MP:0005387	MP:0008760	abnormal immunoglobulin heavy chain V(D)J recombination
mp	MP:0005387	MP:0009627	abnormal submandibular lymph node morphology	mp	MP:0005387	MP:0002742	enlarged submandibular lymph nodes
mp	MP:0005387	MP:0008604	abnormal circulating interleukin-7 level	mp	MP:0005387	MP:0008606	decreased circulating interleukin-7 level
mp	MP:0005387	MP:0002439	abnormal plasma cell morphology	mp	MP:0005387	MP:0008096	abnormal plasma cell number
gene	IMMUNE DISEASES	ATP6V0D2	null	ppi	ppi	242341	242341
mp	MP:0005387	MP:0002403	abnormal pre-B cell morphology	mp	MP:0005387	MP:0008209	decreased pre-B cell number
gene	IMMUNE DISEASES	ITGB2	null	mp	MP:0005387	MP:0002494	increased IgM level
gene	IMMUNE DISEASES	ITGB2	null	mp	MP:0005387	MP:0002495	increased IgA level
gene	IMMUNE DISEASES	ITGB2	null	mp	MP:0005387	MP:0002493	increased IgG level
mp	MP:0005387	MP:0002403	abnormal pre-B cell morphology	mp	MP:0005387	MP:0003132	increased pre-B cell number
mp	MP:0005387	MP:0001601	abnormal myelopoiesis	mp	MP:0005387	MP:0001602	impaired myelopoiesis
mp	MP:0005387	MP:0008037	abnormal T cell morphology	mp	MP:0005387	MP:0010833	abnormal memory T cell morphology
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	JUN	null
gene	IMMUNE DISEASES	FASL	null	mp	MP:0005387	MP:0008499	increased IgG1 level
mp	MP:0005387	MP:0000703	abnormal thymus morphology	mp	MP:0005387	MP:0009544	abnormal thymus epithelium morphology
mp	MP:0005387	MP:0008111	abnormal granulocyte differentiation	mp	MP:0005387	MP:0002443	abnormal eosinophil differentiation
gene	IMMUNE DISEASES	HIST4H4	null	ppi	ppi	320332	320332
gene	IMMUNE DISEASES	IL10	null	mp	MP:0005387	MP:0000708	thymus hyperplasia
mp	MP:0005387	MP:0002412	increased susceptibility to bacterial infection	mp	MP:0005387	MP:0009788	increased susceptibility to bacterial infection induced morbidity/mortality
gene	IMMUNE DISEASES	HIST1H3C	null	ppi	ppi	319148	319148
pathway	HUMAN DISEASES	mmu05330	ALLOGRAFT REJECTION	gene	IMMUNE DISEASES	H2-DMB2	null
gene	IMMUNE DISEASES	ITGB2	null	mp	MP:0005387	MP:0002461	increased immunoglobulin level
pathway	HUMAN DISEASES	mmu05330	ALLOGRAFT REJECTION	gene	IMMUNE DISEASES	H2-DMB1	null
gene	IMMUNE DISEASES	ITGB2	null	mp	MP:0005387	MP:0002463	abnormal neutrophil physiology
gene	IMMUNE DISEASES	IL3	null	ppi	ppi	16187	16187
mp	MP:0005387	MP:0002144	abnormal B cell differentiation	mp	MP:0005387	MP:0005022	abnormal immature B cell morphology
mp	MP:0005387	MP:0008701	abnormal interleukin-5 secretion	mp	MP:0005387	MP:0008702	increased interleukin-5 secretion
gene	IMMUNE DISEASES	CCL3	null	ppi	ppi	20302	20302
gene	IMMUNE DISEASES	KLRA7	null	ppi	ppi	16638	16638
mp	MP:0005387	MP:0008701	abnormal interleukin-5 secretion	mp	MP:0005387	MP:0008703	decreased interleukin-5 secretion
mp	MP:0005387	MP:0001601	abnormal myelopoiesis	mp	MP:0005387	MP:0001603	failure of myelopoiesis
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	MHC CLASS I FAMILY MEMBER	null
mp	MP:0005387	MP:0008051	abnormal memory T cell physiology	mp	MP:0005387	MP:0011821	abnormal CD8-positive, alpha-beta memory T cell proliferation
gene	IMMUNE DISEASES	HIST1H4K	null	ppi	ppi	319160	319160
mp	MP:0005387	MP:0011012	bronchiectasis	mp	MP:0005387	MP:0011013	bronchiolectasis
mp	MP:0005387	MP:0005041	abnormal antigen presentation via MHC class II	mp	MP:0005387	MP:0005043	defective assembly of class II molecules
gene	IMMUNE DISEASES	ATP6V0C	null	ppi	ppi	11984	11984
mp	MP:0005387	MP:0002144	abnormal B cell differentiation	mp	MP:0005387	MP:0005432	abnormal pro-B cell morphology
gene	IMMUNE DISEASES	IL10	null	mp	MP:0005387	MP:0000717	abnormal lymphocyte cell number
gene	IMMUNE DISEASES	IL4RA	null	mp	MP:0005387	MP:0002723	abnormal immune serum protein physiology
mp	MP:0005387	MP:0002144	abnormal B cell differentiation	mp	MP:0005387	MP:0008099	abnormal plasma cell differentiation
gene	IMMUNE DISEASES	CSF2	null	mp	MP:0005387	MP:0002224	abnormal spleen size
mp	MP:0005387	MP:0005041	abnormal antigen presentation via MHC class II	mp	MP:0005387	MP:0005042	abnormal level of surface class II molecules
mp	MP:0005387	MP:0008251	abnormal phagocyte morphology	mp	MP:0005387	MP:0008252	abnormal multinucleated phagocyte morphology
gene	IMMUNE DISEASES	IL10	null	mp	MP:0005387	MP:0008614	increased circulating interleukin-17 level
gene	IMMUNE DISEASES	IL10	null	mp	MP:0005387	MP:0008617	increased circulating interleukin-12 level
gene	IMMUNE DISEASES	GRIN2B	null	ppi	ppi	14812	14812
pathway	HUMAN DISEASES	mmu05321	INFLAMMATORY BOWEL DISEASE (IBD)	gene	IMMUNE DISEASES	TBX21	null
gene	IMMUNE DISEASES	IFNGR2	null	mp	MP:0005387	MP:0005078	abnormal cytotoxic T cell physiology
gene	IMMUNE DISEASES	DCLRE1C	null	mp	MP:0005387	MP:0002339	abnormal lymph node morphology
gene	IMMUNE DISEASES	GM10257	null	ppi	ppi	544973	544973
mp	MP:0005387	MP:0002451	abnormal macrophage physiology	mp	MP:0005387	MP:0003691	abnormal microglial cell physiology
mp	MP:0005387	MP:0002420	abnormal adaptive immunity	mp	MP:0005387	MP:0004815	abnormal somatic hypermutation frequency
mp	MP:0005387	MP:0004794	increased anti-nuclear antigen antibody level	mp	MP:0005387	MP:0004829	increased anti-chromatin antibody level
mp	MP:0005387	MP:0002420	abnormal adaptive immunity	mp	MP:0005387	MP:0004816	abnormal class switch recombination
mp	MP:0005387	MP:0002254	reproductive system inflammation	mp	MP:0005387	MP:0003541	vaginal inflammation
mp	MP:0005387	MP:0009056	abnormal interleukin-21 secretion	mp	MP:0005387	MP:0009058	decreased interleukin-21 secretion
gene	IMMUNE DISEASES	CIITA	null	mp	MP:0005387	MP:0002490	abnormal immunoglobulin level
gene	IMMUNE DISEASES	FASL	null	mp	MP:0005387	MP:0002339	abnormal lymph node morphology
mp	MP:0005387	MP:0003762	abnormal immune organ physiology	mp	MP:0005387	MP:0008737	abnormal spleen physiology
mp	MP:0005387	MP:0000726	absent lymphocyte	mp	MP:0005387	MP:0008071	absent B cells
mp	MP:0005387	MP:0009056	abnormal interleukin-21 secretion	mp	MP:0005387	MP:0009057	increased interleukin-21 secretion
mp	MP:0005387	MP:0000726	absent lymphocyte	mp	MP:0005387	MP:0008070	absent T cells
mp	MP:0005387	MP:0011985	abnormal macrophage proliferation	mp	MP:0005387	MP:0011986	decreased macrophage proliferation
mp	MP:0005387	MP:0002459	abnormal B cell physiology	mp	MP:0005387	MP:0008217	abnormal B cell activation
mp	MP:0005387	MP:0006412	abnormal T cell apoptosis	mp	MP:0005387	MP:0010670	abnormal activation-induced cell death of T cells
pathway	HUMAN DISEASES	mmu05310	ASTHMA	gene	IMMUNE DISEASES	H2-AA	null
gene	IMMUNE DISEASES	RORA	null	ppi	ppi	19883	19883
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0013585	thymus cortex atrophy
gene	IMMUNE DISEASES	PRF1	null	mp	MP:0005387	MP:0008476	increased spleen red pulp amount
gene	IMMUNE DISEASES	ITGB2	null	mp	MP:0005387	MP:0002442	abnormal leukocyte physiology
mp	MP:0005387	MP:0005432	abnormal pro-B cell morphology	mp	MP:0005387	MP:0008186	increased pro-B cell number
gene	IMMUNE DISEASES	AIRE	null	mp	MP:0005387	MP:0005348	increased T cell proliferation
mp	MP:0005387	MP:0005231	abnormal brachial lymph node morphology	mp	MP:0005387	MP:0009628	absent brachial lymph nodes
mp	MP:0005387	MP:0000701	abnormal lymph node size	mp	MP:0005387	MP:0002217	small lymph nodes
mp	MP:0005387	MP:0005231	abnormal brachial lymph node morphology	mp	MP:0005387	MP:0009629	small brachial lymph nodes
gene	IMMUNE DISEASES	CD79A	null	ppi	ppi	12518	12518
mp	MP:0005387	MP:0008250	abnormal myeloid leukocyte morphology	mp	MP:0005387	MP:0008251	abnormal phagocyte morphology
pathway	HUMAN DISEASES	mmu05332	GRAFT-VERSUS-HOST DISEASE	gene	IMMUNE DISEASES	CD28	null
gene	IMMUNE DISEASES	IL4	null	ppi	ppi	16189	16189
pathway	HUMAN DISEASES	mmu05310	ASTHMA	gene	IMMUNE DISEASES	EPX	null
gene	IMMUNE DISEASES	GM14484	null	ppi	ppi	547160	547160
gene	IMMUNE DISEASES	VEGFA	null	mp	MP:0005387	MP:0001823	thymus hypoplasia
mp	MP:0005387	MP:0001846	increased inflammatory response	mp	MP:0005387	MP:0008880	lacrimal gland inflammation
gene	IMMUNE DISEASES	TNFRSF13B	null	mp	MP:0005387	MP:0000702	enlarged lymph nodes
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	H2-T10	null
gene	IMMUNE DISEASES	ATP6V0A4	null	ppi	ppi	140494	140494
gene	IMMUNE DISEASES	AIRE	null	mp	MP:0005387	MP:0005350	increased susceptibility to autoimmune disorder
gene	IMMUNE DISEASES	C6	null	ppi	ppi	12274	12274
ppi	ppi	22637	22637	ppi	ppi	16818	16818
ppi	ppi	14812	14812	ppi	ppi	14811	14811
gene	IMMUNE DISEASES	FOXP3	null	mp	MP:0005387	MP:0001860	liver inflammation
gene	IMMUNE DISEASES	HIST3H2A	null	ppi	ppi	319162	319162
pathway	HUMAN DISEASES	mmu05332	GRAFT-VERSUS-HOST DISEASE	gene	IMMUNE DISEASES	H2-EB1	null
mp	MP:0005387	MP:0011762	renal/urinary system inflammation	mp	MP:0005387	MP:0001859	kidney inflammation
mp	MP:0005387	MP:0002460	decreased immunoglobulin level	mp	MP:0005387	MP:0002491	decreased IgD level
mp	MP:0005387	MP:0002460	decreased immunoglobulin level	mp	MP:0005387	MP:0002492	decreased IgE level
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	TLR2	null
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	H2-T24	null
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	H2-T23	null
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	H2-T22	null
gene	IMMUNE DISEASES	TGFB1	null	mp	MP:0005387	MP:0013467	diaphragmitis
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	TSHB	null
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	TLR4	null
mp	MP:0005387	MP:0008568	abnormal interleukin secretion	mp	MP:0005387	MP:0009056	abnormal interleukin-21 secretion
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	H2-M11	null
gene	IMMUNE DISEASES	ZAP70	null	ppi	ppi	22637	22637
gene	IMMUNE DISEASES	CTSG	null	ppi	ppi	13035	13035
mp	MP:0005387	MP:0002367	abnormal thymus lobule morphology	mp	MP:0005387	MP:0002375	abnormal thymus medulla morphology
gene	IMMUNE DISEASES	ZAP70	null	mp	MP:0005387	MP:0005095	decreased T cell proliferation
mp	MP:0005387	MP:0003726	decreased autoantibody level	mp	MP:0005387	MP:0004795	decreased anti-nuclear antigen antibody level
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0008482	decreased spleen germinal center number
gene	IMMUNE DISEASES	H2-M10.1	null	ppi	ppi	14985	14985
mp	MP:0005387	MP:0000223	decreased monocyte cell number	mp	MP:0005387	MP:0013023	decreased Ly6C high monocyte number
mp	MP:0005387	MP:0002367	abnormal thymus lobule morphology	mp	MP:0005387	MP:0002371	abnormal thymus cortex morphology
pathway	HUMAN DISEASES	mmu05321	INFLAMMATORY BOWEL DISEASE (IBD)	gene	IMMUNE DISEASES	MAF	null
gene	IMMUNE DISEASES	ZAP70	null	mp	MP:0005387	MP:0004974	decreased regulatory T cell number
mp	MP:0005387	MP:0000223	decreased monocyte cell number	mp	MP:0005387	MP:0013026	decreased Ly6C low monocyte number
mp	MP:0005387	MP:0008646	abnormal circulating interleukin-12b level	mp	MP:0005387	MP:0008647	increased circulating interleukin-12b level
mp	MP:0005387	MP:0008646	abnormal circulating interleukin-12b level	mp	MP:0005387	MP:0008648	decreased circulating interleukin-12b level
mp	MP:0005387	MP:0004942	abnormal B cell selection	mp	MP:0005387	MP:0004944	abnormal B cell negative selection
pathway	HUMAN DISEASES	mmu05321	INFLAMMATORY BOWEL DISEASE (IBD)	gene	IMMUNE DISEASES	IL18R1	null
mp	MP:0005387	MP:0004942	abnormal B cell selection	mp	MP:0005387	MP:0004943	abnormal B cell positive selection
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	1700024P04RIK	null
gene	IMMUNE DISEASES	FOXP3	null	mp	MP:0005387	MP:0001852	conjunctivitis
mp	MP:0005387	MP:0005016	decreased lymphocyte cell number	mp	MP:0005387	MP:0000726	absent lymphocyte
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	H2-DMB1	null
pathway	HUMAN DISEASES	mmu05332	GRAFT-VERSUS-HOST DISEASE	gene	IMMUNE DISEASES	H-2 CLASS I HISTOCOMPATIBILITY ANTIGEN	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	H2-DMB2	null
mp	MP:0005387	MP:0000714	increased thymocyte number	mp	MP:0005387	MP:0010135	increased DN4 thymocyte number
gene	IMMUNE DISEASES	FOXP3	null	mp	MP:0005387	MP:0001846	increased inflammatory response
ppi	ppi	18646	18646	ppi	ppi	19374	19374
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0008499	increased IgG1 level
gene	IMMUNE DISEASES	GM12271	null	ppi	ppi	626150	626150
mp	MP:0005387	MP:0020185	altered susceptibility to viral infection	mp	MP:0005387	MP:0002418	increased susceptibility to viral infection
gene	IMMUNE DISEASES	RAG2	null	mp	MP:0005387	MP:0005425	increased macrophage cell number
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	TSHR	null
mp	MP:0005387	MP:0002221	abnormal lymph organ size	mp	MP:0005387	MP:0000687	small lymphoid organs
mp	MP:0005387	MP:0020185	altered susceptibility to viral infection	mp	MP:0005387	MP:0002410	decreased susceptibility to viral infection
gene	IMMUNE DISEASES	CIITA	null	mp	MP:0005387	MP:0002459	abnormal B cell physiology
gene	IMMUNE DISEASES	ATP6V1G1	null	ppi	ppi	66290	66290
mp	MP:0005387	MP:0000714	increased thymocyte number	mp	MP:0005387	MP:0010133	increased DN3 thymocyte number
gene	IMMUNE DISEASES	TLR4	null	mp	MP:0005387	MP:0003724	increased susceptibility to induced arthritis
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	CD40LG	null
gene	IMMUNE DISEASES	HIST1H3A	null	ppi	ppi	360198	360198
ppi	ppi	16476	16476	ppi	ppi	17127	17127
gene	IMMUNE DISEASES	ZAP70	null	mp	MP:0005387	MP:0002935	chronic joint inflammation
gene	IMMUNE DISEASES	IL12RB1	null	ppi	ppi	16161	16161
gene	IMMUNE DISEASES	H2AFY2	null	ppi	ppi	404634	404634
mp	MP:0005387	MP:0000714	increased thymocyte number	mp	MP:0005387	MP:0010131	increased DN2 thymocyte number
mp	MP:0005387	MP:0008170	decreased B-1b cell number	mp	MP:0005387	MP:0008204	absent B-1b cells
gene	IMMUNE DISEASES	IL10	null	mp	MP:0005387	MP:0005095	decreased T cell proliferation
pathway	HUMAN DISEASES	mmu05330	ALLOGRAFT REJECTION	gene	IMMUNE DISEASES	CD40LG	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	C7	null
gene	IMMUNE DISEASES	ATP6V1H	null	ppi	ppi	108664	108664
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	C6	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	C9	null
gene	IMMUNE DISEASES	FAS	null	mp	MP:0005387	MP:0008037	abnormal T cell morphology
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	C3	null
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	C2	null
gene	IMMUNE DISEASES	GM6026	null	ppi	ppi	547210	547210
mp	MP:0005387	MP:0000687	small lymphoid organs	mp	MP:0005387	MP:0002223	lymphoid hypoplasia
mp	MP:0005387	MP:0001846	increased inflammatory response	mp	MP:0005387	MP:0003254	bile duct inflammation
pathway	HUMAN DISEASES	mmu05330	ALLOGRAFT REJECTION	gene	IMMUNE DISEASES	H2-EB1	null
mp	MP:0005387	MP:0002254	reproductive system inflammation	mp	MP:0005387	MP:0001868	ovary inflammation
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	SNRPD3	null
gene	IMMUNE DISEASES	DCLRE1C	null	mp	MP:0005387	MP:0010250	absent thymus cortex
mp	MP:0005387	MP:0001863	vascular inflammation	mp	MP:0005387	MP:0001864	vasculitis
mp	MP:0005387	MP:0000714	increased thymocyte number	mp	MP:0005387	MP:0010129	increased DN1 thymic pro-T cell number
mp	MP:0005387	MP:0001846	increased inflammatory response	mp	MP:0005387	MP:0003251	gallbladder inflammation
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	H-2 CLASS I HISTOCOMPATIBILITY ANTIGEN	null
gene	IMMUNE DISEASES	PRF1	null	mp	MP:0005387	MP:0002357	abnormal spleen white pulp morphology
mp	MP:0005387	MP:0013524	abnormal KLRG1-positive CD4-positive NK T cell number	mp	MP:0005387	MP:0013525	decreased KLRG1-positive CD4-positive NK T cell number
gene	IMMUNE DISEASES	VEGFA	null	mp	MP:0005387	MP:0003007	ectopic thymus
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	SNRPD1	null
mp	MP:0005387	MP:0002418	increased susceptibility to viral infection	mp	MP:0005387	MP:0009791	increased susceptibility to viral infection induced morbidity/mortality
pathway	HUMAN DISEASES	mmu05310	ASTHMA	gene	IMMUNE DISEASES	H2-EB1	null
gene	IMMUNE DISEASES	DCLRE1C	null	mp	MP:0005387	MP:0008186	increased pro-B cell number
gene	IMMUNE DISEASES	CTSL	null	ppi	ppi	13039	13039
gene	IMMUNE DISEASES	RAG2	null	mp	MP:0005387	MP:0002217	small lymph nodes
gene	IMMUNE DISEASES	H2-M2	null	ppi	ppi	14990	14990
ppi	ppi	12504	12504	ppi	ppi	16818	16818
mp	MP:0005387	MP:0005078	abnormal cytotoxic T cell physiology	mp	MP:0005387	MP:0012190	increased cytotoxic T cell apoptosis
mp	MP:0005387	MP:0005078	abnormal cytotoxic T cell physiology	mp	MP:0005387	MP:0012191	decreased cytotoxic T cell apoptosis
ppi	ppi	242341	242341	ppi	ppi	140494	140494
mp	MP:0005387	MP:0008038	abnormal NK T cell number	mp	MP:0005387	MP:0013518	abnormal CD4-positive NK T cell number
mp	MP:0005387	MP:0008350	increased gamma-delta intraepithelial T cell number	mp	MP:0005387	MP:0008358	increased CD4-positive, gamma-delta intraepithelial T cell number
gene	IMMUNE DISEASES	ADA	null	ppi	ppi	11486	11486
mp	MP:0005387	MP:0008211	decreased mature B cell number	mp	MP:0005387	MP:0008729	decreased memory B cell number
mp	MP:0005387	MP:0004972	abnormal regulatory T cell number	mp	MP:0005387	MP:0004974	decreased regulatory T cell number
gene	IMMUNE DISEASES	CD8B1	null	ppi	ppi	12526	12526
mp	MP:0005387	MP:0001601	abnormal myelopoiesis	mp	MP:0005387	MP:0008111	abnormal granulocyte differentiation
gene	IMMUNE DISEASES	CD19	null	ppi	ppi	12478	12478
mp	MP:0005387	MP:0004972	abnormal regulatory T cell number	mp	MP:0005387	MP:0004973	increased regulatory T cell number
mp	MP:0005387	MP:0009337	abnormal splenocyte number	mp	MP:0005387	MP:0009338	increased splenocyte number
mp	MP:0005387	MP:0001601	abnormal myelopoiesis	mp	MP:0005387	MP:0008112	abnormal monocyte differentiation
mp	MP:0005387	MP:0009337	abnormal splenocyte number	mp	MP:0005387	MP:0009339	decreased splenocyte number
gene	IMMUNE DISEASES	VEGFA	null	mp	MP:0005387	MP:0000705	athymia
gene	IMMUNE DISEASES	CD28	null	ppi	ppi	12487	12487
mp	MP:0005387	MP:0002411	decreased susceptibility to bacterial infection	mp	MP:0005387	MP:0009789	decreased susceptibility to bacterial infection induced morbidity/mortality
gene	IMMUNE DISEASES	PRF1	null	mp	MP:0005387	MP:0003865	lymph node inflammation
ppi	ppi	21898	21898	ppi	ppi	21898	21898
mp	MP:0005387	MP:0005020	abnormal late pro-B cell	mp	MP:0005387	MP:0003134	increased late pro-B cell number
mp	MP:0005387	MP:0008350	increased gamma-delta intraepithelial T cell number	mp	MP:0005387	MP:0008362	increased CD8-positive, gamma-delta intraepithelial T cell number
mp	MP:0005387	MP:0005232	abnormal mesenteric lymph node morphology	mp	MP:0005387	MP:0008466	enlarged mesenteric lymph nodes
gene	IMMUNE DISEASES	TNF	null	mp	MP:0005387	MP:0005010	abnormal CD8-positive, alpha beta T cell morphology
mp	MP:0005387	MP:0001846	increased inflammatory response	mp	MP:0005387	MP:0002933	joint inflammation
gene	IMMUNE DISEASES	VEGFA	null	mp	MP:0005387	MP:0000703	abnormal thymus morphology
gene	IMMUNE DISEASES	HIST1H3B	null	ppi	ppi	319150	319150
mp	MP:0005387	MP:0005232	abnormal mesenteric lymph node morphology	mp	MP:0005387	MP:0008465	absent mesenteric lymph nodes
mp	MP:0005387	MP:0003156	abnormal leukocyte migration	mp	MP:0005387	MP:0009858	abnormal cellular extravasation
gene	IMMUNE DISEASES	CCL2	null	mp	MP:0005387	MP:0008721	abnormal chemokine level
gene	IMMUNE DISEASES	PRF1	null	mp	MP:0005387	MP:0002339	abnormal lymph node morphology
mp	MP:0005387	MP:0005350	increased susceptibility to autoimmune disorder	mp	MP:0005387	MP:0004827	increased susceptibility to autoimmune hemolytic anemia
gene	IMMUNE DISEASES	CCL2	null	mp	MP:0005387	MP:0008722	abnormal chemokine secretion
mp	MP:0005387	MP:0004982	abnormal osteoclast morphology	mp	MP:0005387	MP:0004983	abnormal osteoclast cell number
mp	MP:0005387	MP:0005350	increased susceptibility to autoimmune disorder	mp	MP:0005387	MP:0004825	increased susceptibility to experimental autoimmune thyroiditis
gene	IMMUNE DISEASES	H2-Q10	null	ppi	ppi	15007	15007
mp	MP:0005387	MP:0005350	increased susceptibility to autoimmune disorder	mp	MP:0005387	MP:0004823	increased susceptibility to experimental autoimmune myasthenia gravis
mp	MP:0005387	MP:0010169	decreased CD4-positive, CD25-positive, alpha-beta regulatory T cell number	mp	MP:0005387	MP:0013432	decreased KLRG1-positive CD4-positive, CD25-positive, alpha-beta regulatory T cell number
gene	IMMUNE DISEASES	KLRA9	null	ppi	ppi	16640	16640
mp	MP:0005387	MP:0008037	abnormal T cell morphology	mp	MP:0005387	MP:0008343	abnormal gamma-delta T cell morphology
gene	IMMUNE DISEASES	C7	null	ppi	ppi	109828	109828
gene	IMMUNE DISEASES	HIST2H2AA2	null	ppi	ppi	319192	319192
gene	IMMUNE DISEASES	RAG2	null	mp	MP:0005387	MP:0000322	increased granulocyte number
gene	IMMUNE DISEASES	GM5132	null	ppi	ppi	333452	333452
mp	MP:0005387	MP:0001845	abnormal inflammatory response	mp	MP:0005387	MP:0001876	decreased inflammatory response
gene	IMMUNE DISEASES	CGA	null	ppi	ppi	12640	12640
mp	MP:0005387	MP:0002254	reproductive system inflammation	mp	MP:0005387	MP:0001875	testis inflammation
mp	MP:0005387	MP:0002377	abnormal mucosa-associated lymphoid tissue morphology	mp	MP:0005387	MP:0002379	abnormal oropharyngeal lymphoid tissue morphology
mp	MP:0005387	MP:0005350	increased susceptibility to autoimmune disorder	mp	MP:0005387	MP:0004821	increased susceptibility to experimental autoimmune uveoretinitis
mp	MP:0005387	MP:0008704	abnormal interleukin-6 secretion	mp	MP:0005387	MP:0008705	increased interleukin-6 secretion
mp	MP:0005387	MP:0008704	abnormal interleukin-6 secretion	mp	MP:0005387	MP:0008706	decreased interleukin-6 secretion
pathway	HUMAN DISEASES	mmu05322	SYSTEMIC LUPUS ERYTHEMATOSUS	gene	IMMUNE DISEASES	GM5382	null
gene	IMMUNE DISEASES	IL2RG	null	ppi	ppi	16186	16186
